CUPS;FECHA-HORA;INV / VER;CONSUMO Wh;GENERACION Wh;REACT Q1;REACT Q2;REACT Q3;REACT Q4;METODO OBT.;FIRMEZA;NUM FACTURA
ES002100000100007PD;08/01/2023 10:00;0;453;0;1;0;0;158;1;1;3.23E+15
ES002100000100007PD;08/01/2023 11:00;0;262;0;0;0;0;162;1;1;3.23E+15
ES002100000100007PD;08/01/2023 12:00;0;1039;0;1;0;0;297;1;1;3.23E+15
ES002100000100007PD;08/01/2023 13:00;0;898;0;0;0;0;217;1;1;3.23E+15
ES002100000100007PD;08/01/2023 14:00;0;3695;0;0;0;0;101;1;1;3.23E+15
ES002100000100007PD;08/01/2023 15:00;0;1805;0;1;0;0;122;1;1;3.23E+15
ES002100000100007PD;08/01/2023 16:00;0;372;0;0;0;0;186;1;1;3.23E+15
ES002100000100007PD;08/01/2023 17:00;0;1444;0;0;0;0;152;1;1;3.23E+15
ES002100000100007PD;08/01/2023 18:00;0;861;0;0;0;0;170;1;1;3.23E+15
ES002100000100007PD;08/01/2023 19:00;0;543;0;0;0;0;197;1;1;3.23E+15
ES002100000100007PD;08/01/2023 20:00;0;500;0;1;0;0;209;1;1;3.23E+15
ES002100000100007PD;08/01/2023 21:00;0;398;0;0;0;0;193;1;1;3.23E+15
ES002100000100007PD;08/01/2023 22:00;0;340;0;0;0;0;184;1;1;3.23E+15
ES002100000100007PD;08/01/2023 23:00;0;288;0;0;0;0;166;1;1;3.23E+15
ES002100000100007PD;09/01/2023 0:00;0;293;0;1;0;0;185;1;1;3.23E+15
ES002100000100007PD;09/01/2023 1:00;0;249;0;0;0;0;179;1;1;3.23E+15
ES002100000100007PD;09/01/2023 2:00;0;186;0;0;0;0;148;1;1;3.23E+15
ES002100000100007PD;09/01/2023 3:00;0;185;0;0;0;0;163;1;1;3.23E+15
ES002100000100007PD;09/01/2023 4:00;0;311;0;1;0;0;128;1;1;3.23E+15
ES002100000100007PD;09/01/2023 5:00;0;164;0;0;0;0;151;1;1;3.23E+15
ES002100000100007PD;09/01/2023 6:00;0;176;0;0;0;0;148;1;1;3.23E+15
ES002100000100007PD;09/01/2023 7:00;0;245;0;2;0;0;142;1;1;3.23E+15
ES002100000100007PD;09/01/2023 8:00;0;400;0;0;0;0;148;1;1;3.23E+15
ES002100000100007PD;09/01/2023 9:00;0;334;0;1;0;0;154;1;1;3.23E+15
ES002100000100007PD;09/01/2023 10:00;0;184;0;0;0;0;151;1;1;3.23E+15
ES002100000100007PD;09/01/2023 11:00;0;361;0;0;0;0;153;1;1;3.23E+15
ES002100000100007PD;09/01/2023 12:00;0;927;0;0;0;0;138;1;1;3.23E+15
ES002100000100007PD;09/01/2023 13:00;0;223;0;3;0;0;126;1;1;3.23E+15
ES002100000100007PD;09/01/2023 14:00;0;169;0;1;0;0;140;1;1;3.23E+15
ES002100000100007PD;09/01/2023 15:00;0;814;0;0;0;0;175;1;1;3.23E+15
ES002100000100007PD;09/01/2023 16:00;0;679;0;0;0;0;98;1;1;3.23E+15
ES002100000100007PD;09/01/2023 17:00;0;1093;0;1;0;0;129;1;1;3.23E+15
ES002100000100007PD;09/01/2023 18:00;0;1938;0;0;0;0;159;1;1;3.23E+15
ES002100000100007PD;09/01/2023 19:00;0;915;0;0;0;0;184;1;1;3.23E+15
ES002100000100007PD;09/01/2023 20:00;0;408;0;0;0;0;167;1;1;3.23E+15
ES002100000100007PD;09/01/2023 21:00;0;349;0;0;0;0;153;1;1;3.23E+15
ES002100000100007PD;09/01/2023 22:00;0;519;0;0;0;0;198;1;1;3.23E+15
ES002100000100007PD;09/01/2023 23:00;0;384;0;1;0;0;208;1;1;3.23E+15
ES002100000100007PD;10/01/2023 0:00;0;428;0;0;0;0;219;1;1;3.23E+15
ES002100000100007PD;10/01/2023 1:00;0;343;0;0;0;0;166;1;1;3.23E+15
ES002100000100007PD;10/01/2023 2:00;0;198;0;0;0;0;137;1;1;3.23E+15
ES002100000100007PD;10/01/2023 3:00;0;163;0;1;0;0;158;1;1;3.23E+15
ES002100000100007PD;10/01/2023 4:00;0;197;0;0;0;0;163;1;1;3.23E+15
ES002100000100007PD;10/01/2023 5:00;0;182;0;0;0;0;159;1;1;3.23E+15
ES002100000100007PD;10/01/2023 6:00;0;161;0;0;0;0;159;1;1;3.23E+15
ES002100000100007PD;10/01/2023 7:00;0;183;0;0;0;0;147;1;1;3.23E+15
ES002100000100007PD;10/01/2023 8:00;0;187;0;0;0;0;151;1;1;3.23E+15
ES002100000100007PD;10/01/2023 9:00;0;457;0;2;0;0;159;1;1;3.23E+15
ES002100000100007PD;10/01/2023 10:00;0;230;0;0;0;0;167;1;1;3.23E+15
ES002100000100007PD;10/01/2023 11:00;0;656;0;1;0;0;179;1;1;3.23E+15
ES002100000100007PD;10/01/2023 12:00;0;239;0;0;0;0;158;1;1;3.23E+15
ES002100000100007PD;10/01/2023 13:00;0;194;0;1;0;0;146;1;1;3.23E+15
ES002100000100007PD;10/01/2023 14:00;0;395;0;0;0;0;175;1;1;3.23E+15
ES002100000100007PD;10/01/2023 15:00;0;662;0;1;0;0;164;1;1;3.23E+15
ES002100000100007PD;10/01/2023 16:00;0;338;0;0;0;0;134;1;1;3.23E+15
ES002100000100007PD;10/01/2023 17:00;0;1295;0;0;0;0;139;1;1;3.23E+15
ES002100000100007PD;10/01/2023 18:00;0;985;0;0;0;0;127;1;1;3.23E+15
ES002100000100007PD;10/01/2023 19:00;0;422;0;0;0;0;180;1;1;3.23E+15
